name,N,J,noise,periodic,beta,gamma,mean_degree,r_mean,alpha,Tc,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
SD,500,1.0,1e-10,False,1.81,6.01,20,0.5362380613504576,1.595992788545475,30.797230778055077,0.2848821052371874,14.44,1,1.0
SD,500,1.0,1e-10,False,2.01,6.01,20,0.5353649324131289,1.59266492303261,29.586989600211123,0.1631583966853274,18.48,1,1.0
SD,500,1.0,1e-10,False,2.01,6.01,20,0.5323068683556689,1.5981210811391149,31.888284834413597,0.1737681840897033,17.52,1,1.0
SD,500,1.0,1e-10,False,2.01,6.01,20,0.5137534662291554,1.5951241342934492,30.62071098504339,0.2131006114966159,16.16,1,1.0
SD,500,1.0,1e-10,False,2.01,6.01,20,0.5333796030695619,1.598200934788146,32.48314391874304,0.1105300699356387,20.8,1,1.0
SD,500,1.0,1e-10,False,2.21,6.01,20,0.5588910760086576,1.599600907340447,34.82060096115873,0.110005838056543,22.6,1,1.0
SD,500,1.0,1e-10,False,2.21,6.01,20,0.5330898655732528,1.6024716898865423,29.711209833610493,0.2958399506156487,13.8,1,1.0
SD,500,1.0,1e-10,False,2.21,6.01,20,0.5239251858293458,1.6019012590274886,34.847054246326906,0.1391162991638488,19.76,1,1.0
SD,500,1.0,1e-10,False,2.21,6.01,20,0.5365719460447831,1.613789502350842,29.36199872597036,0.2397930078593423,16.28,1,1.0
SD,500,1.0,1e-10,False,2.41,6.01,20,0.537569764422876,1.597680119028698,32.9864002994178,0.201460726911481,15.96,1,1.0
SD,500,1.0,1e-10,False,2.41,6.01,20,0.526855716137813,1.6037320459301745,30.500789099252515,0.1727736193864944,19.92,2,0.96
SD,500,1.0,1e-10,False,2.41,6.01,20,0.5330080249089426,1.602917676408156,35.77105310394862,0.1123723895399883,22.4,1,1.0
SD,500,1.0,1e-10,False,2.41,6.01,20,0.5446968024975574,1.6042330025211613,37.71258053643851,0.1233306400745695,22.72,1,1.0
SD,500,1.0,1e-10,False,2.6100000000000003,6.01,20,0.5668577155279,1.6034202815730934,38.57702690343541,0.1446570488710619,21.84,1,1.0
