run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,first_moment,second_moment,r_mean,alpha,Tc,gap_0,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260409_191045_068391,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0635,254.2905,0.5352267512850956,1.5707117645134048,24.04359875165062,0.4277979135493588,0.02642754839320687,12.66,1,1.0
20260409_191057_645626,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.058,255.879,0.540291375329291,1.5809031750934002,26.269692450143562,1.3336656933828728,0.02061905078639783,14.435,1,1.0
20260409_191110_206274,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.084,257.0705,0.5344320382523923,1.5762850029041164,25.19050559955767,0.8155211763281933,0.033703763249269277,14.885,1,1.0
20260409_191122_816197,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.997,253.531,0.5286194517668418,1.5784571318166036,25.559164690905977,1.0931291732126311,0.03081667781044286,15.215,1,1.0
20260409_192652_411062,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.126,257.8225,0.5322595930113398,1.5783285258815978,25.700224062506756,0.9303318024876042,0.02474098915482711,14.905,1,1.0
20260409_192705_196044,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.974,252.03,0.5355460647533316,1.577055040135167,25.213196269992736,0.750439040243041,0.028256693340612225,14.63,1,1.0
20260409_192717_584389,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.982,253.6045,0.5376645628562953,1.5794545844556473,25.76059255621475,1.1264986374087194,0.06511177158696409,15.535,1,1.0
20260409_193952_100124,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.24,262.155,0.5346700347579157,1.5811708707584566,26.673497110683126,1.3895410544587463,0.028447773407199145,15.45,1,1.0
20260409_194006_520598,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0045,252.1065,0.5429398907877451,1.5711780985660246,23.563793957594793,0.7754238220041323,0.028116363436423177,13.24,1,1.0
20260409_194019_587820,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.2635,261.68,0.5315947875683481,1.5681632987779686,23.915856539500876,0.4786793174503323,0.07869413137322191,13.765,2,0.995
20260409_194315_583619,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.882,248.6085,0.5333044883672284,1.575388437836966,24.494972183072754,0.9974280982047645,0.03484812384062195,14.665,1,1.0
20260409_194329_437945,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.9685,253.1535,0.5300890676301403,1.577736869628883,25.55313918285039,0.5500807295588075,0.01786536070275541,13.345,1,1.0
20260409_194342_446440,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.041,254.6575,0.5323678688347755,1.574420107726263,24.625630246440775,0.6931722781845586,0.02624514652401957,14.73,3,0.995
20260409_194355_269569,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.9485,252.2955,0.5381486392263791,1.579180778406789,25.88884374054103,0.9952705074715595,0.011303705618172117,12.99,2,0.995
20260409_194408_068514,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.9735,253.621,0.5358247617982964,1.5701477908588903,24.268158599778438,0.21001518089500948,0.04913730311683703,14.3,1,1.0
20260409_194420_911596,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.02,254.907,0.5397899219670426,1.5688034186674666,24.021961497581817,0.26526267834051254,0.01939014078603815,13.33,1,1.0
20260409_194433_673493,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.9555,250.82,0.5308431219886117,1.5651074033744619,22.722904265144084,0.2080132178682561,0.15610655330029524,11.93,1,1.0
20260409_194446_467311,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.1145,258.4515,0.5374850392315661,1.5752378245856755,24.206939568386254,0.08596560359221783,0.047971510993678745,14.89,2,0.8375
20260409_194459_026300,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0015,253.507,0.5349476800676873,1.5860011754778378,27.972558784229623,2.597620955728818,0.01950058397146715,14.49,1,1.0
20260409_194511_676518,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0045,253.582,0.5354291945670056,1.5724891093500224,24.13394754840796,0.3282392723308476,0.0610963488959774,14.335,1,1.0
20260409_194524_235562,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.978,251.608,0.5381829526289018,1.5746433965183408,24.50942626886322,0.5233531179376776,0.045597873138528575,14.43,1,1.0
20260409_194537_828110,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0705,255.8725,0.5391782812048694,1.571484865096308,24.655021885283574,0.2639799138658212,0.015423351646948566,12.405,1,1.0
20260409_194551_630505,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.088,257.085,0.5240216724768423,1.5852284234935372,27.857510697507724,2.503659590816298,0.014772101190335934,14.05,1,1.0
20260409_194605_209334,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.102,256.716,0.5345366847429478,1.5771664460721786,25.672065040792084,0.5094711409499908,0.016411510981093842,13.695,1,1.0
20260409_194619_169523,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.985,252.898,0.5359279008514807,1.5736276336101054,24.70046114202345,0.4220463752846335,0.0345246208532508,14.145,2,0.9975
20260409_194632_995867,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.986,253.6035,0.5301355086573303,1.5757393771779387,25.191136579224597,0.4731532063234134,0.033734592779361264,14.89,1,1.0
20260409_194646_687347,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.02,252.587,0.5224720294679995,1.5755059008189065,24.647519704604534,0.9850248831402375,0.015594000844201561,13.51,1,1.0
