run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,first_moment,second_moment,r_mean,dyson_beta,alpha,Tc,gap0,ipr,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260428_103736_657062,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.064,247.405,0.5327085351950676,1.05687927199228,1.580040100920173,22.59590785207143,394.4529778833341,0.000650248393245666,0.3844684625088326,10.205,2,0.9975
20260428_103756_160042,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.1345,249.33,0.5292296013420604,1.1074904559198882,1.5792833326226834,22.408853230387148,380.7939733051541,0.0005879382535604581,0.4252147202296173,8.55,5,0.9875
20260428_103814_375158,SD,4000,1.0,1e-10,False,1.21,8.01,15,14.839,239.5185,0.5293142130710576,0.9013726397980711,1.579116820677752,21.966675645873732,416.0528541067044,0.000497449535830662,0.5025635406062638,7.81,2,0.9975
20260428_103833_844194,SD,4000,1.0,1e-10,False,1.21,8.01,15,14.8215,239.262,0.521756271359514,1.16093151316297,1.5794261602066317,22.021015123942068,427.80993586674407,0.0005521928566837129,0.4527403731758087,7.96,2,0.9975
20260428_194709_817732,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.195,222.323,0.3832991394583395,-0.19620639736740278,1.5883630573844432,34.8411656582667,1344.5314666889944,0.032927371631327806,0.007592467531242143,14.045,10,0.65
20260428_194724_308736,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.035,214.9015,0.3923431899742602,-0.13527211023517044,2.1831276321794877,14.464040636690758,2.7590911696235976,0.033891690903465124,0.00737643927864454,15.27,2,0.765
20260428_194738_744241,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0845,216.448,0.3983649401420227,-0.1244867476432282,1.710543906725227,22.164992223296615,8.965262271463878,0.03754178392350465,0.0066592466812286115,14.545,4,0.74
20260428_194752_829671,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0555,216.1475,0.3959613467156181,-0.12807580025788812,1.5647781777849776,27.780914113809043,295.8674009829965,0.03798054269169417,0.006582317741728098,14.86,2,0.95
20260428_194807_256173,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.2335,223.5515,0.3942756843887153,-0.1399108373838307,1.5805975663247462,26.46877870311982,27.66790687574608,0.036131688761023545,0.006919134105618759,16.185,1,1.0
20260428_194825_399642,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.16,220.846,0.4058552729585793,-0.1521220343197526,1.5818184906891928,31.89771278315166,917.9068271567016,0.029684041521046707,0.008422033765946052,15.89,5,0.805
20260428_194839_392356,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0795,217.812,0.3856678328865794,-0.17709261816198985,1.5699836894795896,28.461584764630125,99.32567348421517,0.03371448288206873,0.0074152108716745045,14.74,4,0.8125
20260428_194856_937953,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.161,220.121,0.39352106626263966,-0.11547019532398792,1.6912442179667766,22.600368731748866,9.648334168789372,0.01853274656831634,0.01348963571473,15.3,1,1.0
