run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,first_moment,second_moment,r_mean,alpha,Tc,gap_0,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260409_120220_723470,SD,4000,1.0,1e-10,False,7.010000000000004,7.810000000000005,15,14.4445,228.641,0.4037524431096995,1.5713339103623942,28.527068819492925,0.6499093934885387,0.008401835998340932,15.225,1,1.0
20260409_120236_443985,SD,4000,1.0,1e-10,False,7.210000000000004,7.810000000000005,15,14.507,230.683,0.3896610410110114,1.5767948259266218,30.684916042413352,0.9412784815809268,0.007821638428696048,15.8,1,1.0
20260409_120252_108820,SD,4000,1.0,1e-10,False,7.210000000000004,7.810000000000005,15,14.301,223.285,0.38920673954563173,1.5809133787254486,31.06966674843798,1.2137407111637764,0.007809377279712234,15.585,2,0.93
20260409_120307_820397,SD,4000,1.0,1e-10,False,7.210000000000004,7.810000000000005,15,14.517,232.554,0.4041235616202532,1.5717598616446933,29.75221319419288,0.7190273983462312,0.008481734828339641,14.825,2,0.955
20260409_120325_817719,SD,4000,1.0,1e-10,False,7.410000000000005,7.810000000000005,15,14.4095,228.459,0.40047991625908586,1.5846943469427586,33.34390095022643,0.8296893080979828,0.008465633100118494,15.805,6,0.82
20260409_120340_668999,SD,4000,1.0,1e-10,False,7.410000000000005,7.810000000000005,15,14.4205,227.8235,0.3922299391725398,1.5772655718381792,30.815044770206747,0.2865702672027908,0.007219777933168872,14.925,4,0.7925
20260409_120355_555674,SD,4000,1.0,1e-10,False,7.410000000000005,7.810000000000005,15,14.398,228.1935,0.39365762446894986,1.581788460849796,32.46964576472141,0.5816563197629598,0.007858441981064567,17.08,1,1.0
20260409_120410_410405,SD,4000,1.0,1e-10,False,7.610000000000005,7.810000000000005,15,14.633,236.8005,0.39222275557371666,1.587635361920497,35.08055440925921,2.801631626538402,0.007558227113794629,14.84,9,0.7325
20260409_120425_277776,SD,4000,1.0,1e-10,False,7.610000000000005,7.810000000000005,15,14.2645,222.641,0.3918890371458775,1.5783546086395133,30.265950897195378,1.0219384068770978,0.007492494342078215,14.86,1,1.0
20260409_120440_166031,SD,4000,1.0,1e-10,False,7.610000000000005,7.810000000000005,15,14.5025,232.378,0.3966158968082361,1.5807616779655842,32.85430651004937,0.40040400385799657,0.009626865748465023,16.58,1,1.0
20260409_120454_207217,SD,4000,1.0,1e-10,False,7.810000000000005,7.810000000000005,15,14.3025,223.9815,0.3940653347959914,1.57768703170085,30.070910560716314,1.7919694921047515,0.006932064026398353,15.88,1,1.0
20260409_120512_902816,SD,4000,1.0,1e-10,False,7.810000000000005,7.810000000000005,15,14.3635,225.8105,0.39080617911337434,1.5805899855018228,31.718652527447162,0.7603520821473104,0.007437533582235891,15.415,2,0.99
20260409_120526_978939,SD,4000,1.0,1e-10,False,7.810000000000005,7.810000000000005,15,14.424,228.329,0.38668914314227165,1.573033142817618,29.1873497375829,0.9465766568183547,0.008876087367343423,16.44,1,1.0
20260409_120540_208298,SD,4000,1.0,1e-10,False,8.010000000000005,7.810000000000005,15,14.302,225.8345,0.3996067121450273,1.5846666749861853,32.88692325412941,1.662557405623211,0.0107279627692811,15.67,3,0.8425
20260409_120553_465742,SD,4000,1.0,1e-10,False,8.010000000000005,7.810000000000005,15,14.243,221.3255,0.39017762090842084,1.5732239270329653,28.91688285824491,0.9184775098381586,0.006438217307409301,14.89,2,0.98
20260409_120611_207270,SD,4000,1.0,1e-10,False,8.010000000000005,7.810000000000005,15,14.434,229.7475,0.4072205279177033,1.5735776418623537,30.400437523309385,0.5153628447917384,0.008683455202297158,15.14,3,0.9475
20260409_120624_373335,SD,4000,1.0,1e-10,False,8.210000000000004,7.810000000000005,15,14.2245,222.468,0.3971024538373367,1.587910118509249,34.2049668164232,2.9747257562360687,0.007711528379242385,15.245,3,0.8475
20260409_120637_005131,SD,4000,1.0,1e-10,False,8.210000000000004,7.810000000000005,15,14.322,225.92,0.3946344033097217,1.5680333966464706,28.657414411061566,0.16626380618303926,0.016187413150621038,15.655,1,1.0
20260409_120649_469527,SD,4000,1.0,1e-10,False,8.210000000000004,7.810000000000005,15,14.453,231.8035,0.3916098292881346,1.5752505166771285,30.696660466505502,0.354946792587441,0.008560828843120058,16.32,1,1.0
20260409_120701_926504,SD,4000,1.0,1e-10,False,8.410000000000004,7.810000000000005,15,14.189,218.439,0.39200997323221254,1.5553450696514788,25.043587295499016,0.44723926861117036,0.007039252490127821,15.675,1,1.0
20260409_120714_372341,SD,4000,1.0,1e-10,False,8.410000000000004,7.810000000000005,15,14.181,220.409,0.3980556506861401,1.576293898888395,29.644494586670735,0.812883753017541,0.007646510270356056,15.025,2,0.9925
20260409_120726_821070,SD,4000,1.0,1e-10,False,8.410000000000004,7.810000000000005,15,14.338,226.0395,0.39775932482873283,1.5745063534936434,30.15391918561095,0.28876554461016113,0.0077139873522332385,16.43,2,0.905
