name,N,J,noise,periodic,beta,gamma,mean_degree,r_mean,alpha,Tc,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
SD,807,1.0,1e-10,False,5.610000000000003,6.01,10,0.4127187401931852,1.5819503868014346,21.74484030676243,0.029688801270869574,11.728395061728396,1,1.0
SD,1015,1.0,1e-10,False,5.610000000000003,6.01,10,0.39050462026348737,1.5586620363977375,17.186840696708845,0.027923847488549636,12.470588235294118,1,1.0
SD,1995,1.0,1e-10,False,5.810000000000003,6.01,10,0.3945164472552328,1.5812516975735844,23.97865851250148,0.012116350035025461,10.46,1,1.0
SD,1008,1.0,1e-10,False,5.810000000000003,6.01,10,0.39638989082597165,1.5821599007872027,21.542512432439047,0.019954678889602128,10.871287128712872,1,1.0
SD,738,1.0,1e-10,False,5.810000000000003,6.01,10,0.4053078449361555,1.5684709075397083,18.123324555323194,0.028440576237635653,10.567567567567568,1,1.0
SD,1953,1.0,1e-10,False,5.810000000000003,6.01,10,0.38806081106114443,1.5854812608826658,24.07008659251906,0.01543952300977826,12.153061224489797,1,1.0
SD,779,1.0,1e-10,False,6.010000000000003,6.01,10,0.3973547230175829,1.5731473396564766,18.950165266198717,0.03601627016387392,12.487179487179487,1,1.0
SD,1641,1.0,1e-10,False,6.010000000000003,6.01,10,0.39318303080367834,1.5488433772170598,18.089287294099766,0.012380847918353364,10.426829268292684,1,1.0
SD,776,1.0,1e-10,False,6.010000000000003,6.01,10,0.412438576193602,1.582427954663532,21.91815068854448,0.02726263873985993,10.384615384615385,1,1.0
SD,693,1.0,1e-10,False,6.010000000000003,6.01,10,0.4139349107129223,1.590154324065031,22.478487899683415,0.036260365181452356,12.685714285714285,1,1.0
SD,950,1.0,1e-10,False,6.2100000000000035,6.01,10,0.4251735060677484,2.7726756358394335,4.2753857113166145,0.026430893405140914,11.347368421052632,1,1.0
SD,715,1.0,1e-10,False,6.2100000000000035,6.01,10,0.4050595819453345,1.5849524272057758,21.838553629853852,0.037423811155693855,12.61111111111111,1,1.0
SD,980,1.0,1e-10,False,6.2100000000000035,6.01,10,0.4046334378382318,1.5812224034290883,19.880315186507556,0.02673538807505452,12.10204081632653,1,1.0
SD,1047,1.0,1e-10,False,6.2100000000000035,6.01,10,0.41029698163308614,1.5762641998142195,21.075821620477505,0.019953058259463887,11.542857142857143,1,1.0
