run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,first_moment,second_moment,r_mean,dyson_beta,alpha,Tc,gap0,ipr,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260421_161552_585042,SD,4000,1.0,1e-10,False,9.01,3.51,15,15.8155,383.578,0.4094615674735075,0.0011994645453016256,1.5870647702975893,41.01375680916137,136.48157612416173,0.0316218947011462,0.00790591463170416,17.865,1,1.0
20260421_161609_656823,SD,4000,1.0,1e-10,False,1.01,4.01,15,15.2185,285.9445,0.5294531735361352,1.0112651375510864,1.5893164026856483,26.590874969767437,1007.8891767228164,0.0016368471658127492,0.15273264677454884,8.21,1,1.0
20260421_161627_273922,SD,4000,1.0,1e-10,False,1.01,4.01,15,15.373,290.7585,0.5372075701628173,1.079717036855097,1.5890980831417973,26.560730309678775,1099.4911091756996,0.0012201682565314452,0.20488977537464498,8.15,1,1.0
20260421_161644_833692,SD,4000,1.0,1e-10,False,1.01,4.01,15,15.313,287.9605,0.5410601026519145,0.9526392285970652,1.589217281743461,26.542345498805727,1028.4478154431242,0.001860814007400009,0.13434980551834316,8.145,1,1.0
20260421_161659_589026,SD,4000,1.0,1e-10,False,9.01,4.01,15,15.5455,320.6935,0.394178844832963,-0.10376203372976613,1.5855833064608655,38.08363638896741,549.3908454800044,0.028796237422614897,0.008681689775333791,17.71,1,1.0
20260421_161714_745312,SD,4000,1.0,1e-10,False,9.01,4.01,15,15.513,316.218,0.40919075609664685,-0.05285360929953579,1.576963629619997,34.30254248983651,312.8850382782089,0.02352591691307722,0.010626578378376994,17.295,1,1.0
20260421_161729_449457,SD,4000,1.0,1e-10,False,9.01,4.01,15,15.689,328.4195,0.3961521223666681,-0.12975694953154002,1.578409646613897,35.828254774561174,190.5438010855172,0.013157690121388892,0.019000295469309217,18.915,1,1.0
20260421_161744_108865,SD,4000,1.0,1e-10,False,1.01,4.51,15,15.264,273.3915,0.5387646173195163,0.8516015558576271,1.5871487727284586,24.892263698033968,928.815435845031,0.0008670524685857991,0.2883331851966941,7.425,1,1.0
20260421_161758_810603,SD,4000,1.0,1e-10,False,1.01,4.51,15,15.172,270.963,0.5293200604393703,0.9012695289215076,1.5872557505903477,24.90919790749394,1001.6812734144036,0.0008860069242744354,0.28216483771244655,7.69,1,1.0
20260421_161812_984566,SD,4000,1.0,1e-10,False,1.01,4.51,15,15.2225,271.8425,0.5398751200510808,0.9831050337599465,1.5874439233127855,24.999960043089708,1066.5029597641067,0.0012166053560123396,0.20548980716263124,8.18,2,0.9975
