run_id,degree,sum_prob
20260409_182443_314499,9,0.0045917911461696905
20260409_182443_314499,45,0.00020276548588183887
20260409_182443_314499,35,0.001114883842216531
20260409_182443_314499,29,0.011673432224326537
20260409_182443_314499,5,5.837976146737141e-05
20260409_182443_314499,43,0.003975631251671059
20260409_182443_314499,38,0.006499557775590231
20260409_182443_314499,31,0.014824426248100151
20260409_182443_314499,41,0.0010739079903953706
20260409_182443_314499,34,0.0061328687135898405
20260409_182443_314499,37,0.00041760197312594514
20260409_182443_314499,46,4.2210292440193085e-05
20260409_182443_314499,4,6.120321612412403e-06
20260409_182443_314499,58,0.009031004364904222
20260409_182443_314499,3,3.9194488653101834e-07
20260409_182455_898990,13,0.025636263539931026
20260409_182455_898990,11,0.0066981108991208925
20260409_182455_898990,15,0.05566292983743393
20260409_182455_898990,28,0.007609940425771287
20260409_182455_898990,10,0.0033830647771501392
20260409_182455_898990,26,0.03451555308676179
20260409_182455_898990,12,0.011576909082700067
20260409_182455_898990,31,0.02855636182296126
20260409_182455_898990,22,0.03987399144726567
20260409_182455_898990,39,0.0004437600364688656
20260409_182455_898990,17,0.03302574125138522
20260409_182455_898990,14,0.02224784764168504
20260409_182455_898990,21,0.094162765476584
20260409_182455_898990,20,0.05014624231164968
20260409_182455_898990,23,0.09541141108537068
20260409_182455_898990,19,0.047719330969732895
20260409_182455_898990,16,0.051103061107808934
20260409_182455_898990,24,0.039102868277245496
20260409_182455_898990,18,0.07389994957670139
20260409_182455_898990,7,0.00038368755759893243
20260409_182455_898990,29,0.017784343052407628
20260409_182455_898990,9,0.001260942644631164
20260409_182455_898990,35,0.0033592473184124194
20260409_182455_898990,25,0.018801031974081082
20260409_182455_898990,37,0.029334975133701625
20260409_182455_898990,45,1.9384790696012987e-05
20260409_182455_898990,30,0.04330247303101485
20260409_182455_898990,6,7.842178390886934e-05
20260409_182455_898990,33,0.02539815303412087
20260409_182455_898990,27,0.027941462715616962
20260409_182455_898990,32,0.028216420117551818
20260409_182455_898990,34,0.028668874993856612
20260409_182455_898990,5,3.884173750816787e-06
20260409_182455_898990,8,0.0010594645014465743
20260409_182455_898990,64,6.6745358738615945e-06
20260409_182455_898990,3,6.23620843336516e-08
20260409_182455_898990,40,0.0028054960737981436
20260409_182455_898990,53,0.004419996361124767
20260409_182455_898990,44,1.4433860964703687e-05
20260409_182455_898990,60,7.597421275314676e-06
20260409_182455_898990,49,3.384231633544254e-05
20260409_182455_898990,43,5.509273027031625e-06
20260409_182455_898990,46,0.042219948895336076
20260409_182455_898990,36,0.0016930444694495193
20260409_182455_898990,41,0.002404234202763868
20260409_182455_898990,4,2.700070990608308e-07
20260409_182455_898990,2,2.074434264850172e-08
20260409_182508_546716,9,0.0058524239570579934
20260409_182508_546716,11,0.006925861443456284
20260409_182508_546716,14,0.03810247365719976
20260409_182508_546716,19,0.03271005154829495
20260409_182508_546716,24,0.04686182657161653
20260409_182508_546716,13,0.0378594407826415
20260409_182508_546716,22,0.044536322595823366
20260409_182508_546716,15,0.04065090359210721
20260409_182508_546716,7,0.0008078720568313333
20260409_182508_546716,8,0.0024602736893632937
20260409_182508_546716,17,0.054259067660747534
20260409_182508_546716,10,0.01114765326063225
20260409_182508_546716,32,0.004505825938927892
20260409_182508_546716,25,0.042635440279941005
20260409_182508_546716,26,0.02746835079281962
20260409_182508_546716,23,0.05979660296697524
20260409_182508_546716,18,0.08166390679312022
20260409_182508_546716,16,0.06598692409281165
20260409_182508_546716,12,0.022439600871189385
20260409_182508_546716,29,0.00822321468336926
20260409_182508_546716,28,0.014093951354595794
20260409_182508_546716,21,0.08348283379194789
20260409_182508_546716,20,0.08064348362933042
20260409_182508_546716,35,0.0007776165906193849
20260409_182508_546716,38,0.0019298976548299445
20260409_182508_546716,30,0.0016279215110529346
20260409_182508_546716,36,0.017722850550353875
20260409_182508_546716,27,0.027008060932075716
20260409_182508_546716,54,0.008204539480522554
20260409_182508_546716,42,0.00016600055401538248
20260409_182508_546716,40,7.576427950756485e-06
20260409_182508_546716,6,0.00010231017925401186
20260409_182508_546716,37,0.01917562941282109
20260409_182508_546716,33,0.012334876972458018
20260409_182508_546716,31,0.012406404104033814
20260409_182508_546716,39,0.03762322449302056
20260409_182508_546716,43,1.3406172919115082e-05
20260409_182508_546716,5,4.137872509887039e-05
20260409_182508_546716,41,0.00012272124826032534
20260409_182508_546716,34,0.00015619080535743944
20260409_182508_546716,63,0.045712192853946794
20260409_182508_546716,47,0.0007539830454043379
20260409_182508_546716,4,2.3548167331826486e-06
20260409_182508_546716,44,0.0009960378529296596
20260409_182508_546716,3,5.133648696316809e-07
20260409_182508_546716,2,6.240671567489295e-09
20260409_182521_184100,15,0.02540371009445316
20260409_182521_184100,13,0.018639130553232443
20260409_182521_184100,17,0.07659168422138371
20260409_182521_184100,26,0.052964121213878806
20260409_182521_184100,18,0.0803009606412107
20260409_182521_184100,31,0.018018934114532054
20260409_182521_184100,23,0.05081962998699337
20260409_182521_184100,22,0.045382743767883454
20260409_182521_184100,11,0.003319956477350703
20260409_182521_184100,10,0.004589313074348493
20260409_182521_184100,21,0.062477777359282144
