run_id,degree,sum_prob,deg_count
20260429_102226_126480,170,0.005098740788045156,1
20260429_102226_126480,32,0.007396665249876295,21
20260429_102226_126480,65,0.005114814907549398,5
20260429_102226_126480,223,0.007819435167723968,1
20260429_102226_126480,45,0.004969873526681613,9
20260429_102226_126480,36,0.00305280820795829,8
20260429_102226_126480,48,0.002733641422914129,5
20260429_102226_126480,266,0.010367723090238996,1
20260429_102226_126480,128,0.003927228118162959,1
20260429_102226_126480,120,0.00548386154773613,2
20260429_102226_126480,307,0.01328871854703928,1
20260429_102226_126480,37,0.0037962000215759637,9
20260429_102226_126480,192,0.006711458366287127,1
20260429_102226_126480,66,0.0032891997409054377,3
20260429_102226_126480,131,0.006566502632942976,2
20260429_102226_126480,167,0.004913376739941503,1
20260429_102226_126480,72,0.0017272925739678588,1
20260429_102226_126480,97,0.00217425828151643,1
20260429_102226_126480,76,0.00493496803392825,3
20260429_102226_126480,67,0.0016134106848069451,2
20260429_102226_126480,55,0.0031080031210757035,4
20260429_102226_126480,75,0.0023915109534411914,2
20260429_102226_126480,86,0.0015429113701309215,1
20260429_102226_126480,146,0.005119911029736823,1
20260429_102226_126480,73,0.00423907737423141,3
20260429_102226_126480,88,0.0043756422392841965,2
20260429_102226_126480,69,0.0019017874406305876,2
20260429_102226_126480,77,0.002686719447734911,2
20260429_102226_126480,61,0.001004736053596956,1
20260429_102226_126480,109,0.0026107868057111986,1
20260429_102226_126480,142,0.0050036138394229,1
20260429_102226_126480,98,0.0020345020950783,1
20260429_102226_126480,118,0.0034947987857953853,1
20260429_102226_126480,63,0.005674017761780459,5
20260429_102226_126480,200,0.005288242550766651,1
20260429_102226_126480,159,0.005613455691648277,1
20260429_102226_126480,58,0.00214126881127344,2
20260429_102226_126480,189,0.007109817200420364,1
20260429_102226_126480,115,0.004956941437895544,2
20260429_102226_126480,389,0.018909622532051362,1
20260429_102226_126480,47,0.004127732359975628,6
20260429_102226_126480,79,0.004447830417762441,3
20260429_102226_126480,154,0.006061797078826109,1
20260429_102226_126480,156,0.005480794624292592,1
20260429_102226_126480,112,0.0035815099823341004,1
20260429_102226_126480,71,0.0012578891553315567,1
20260429_102226_126480,102,0.002712197963218442,1
20260429_102226_126480,150,0.0026851698039921483,1
20260429_102226_126480,179,0.004266740374974119,1
20260429_102226_126480,40,0.000569779236500055,2
20260429_102226_126480,140,0.002513009051229008,1
20260429_102226_126480,96,0.005465735469868733,2
20260429_102226_126480,94,0.001598208915313399,1
20260429_102226_126480,74,0.0026305252361745477,2
20260429_102226_126480,87,0.002182235964659684,1
20260429_102226_126480,119,0.0027122477181259065,1
20260429_102226_126480,225,0.007011310721527858,1
20260429_102226_126480,56,0.0014491719283565214,2
20260429_102226_126480,81,0.0026729496128003044,2
20260429_102226_126480,43,0.0022701663701585406,5
20260429_102226_126480,53,0.00032211739176269284,1
20260429_102226_126480,50,0.0014073964339206104,2
20260429_102226_126480,110,0.0035066227851400997,1
20260429_102226_126480,1,8.111890595012238e-05,30
20260429_102226_126480,68,0.0011013686479607984,1
20260429_102226_126480,89,0.0015347162171554178,1
20260429_102255_837759,9,0.012271006499754428,266
20260429_102255_837759,8,0.010572412974951883,315
20260429_102255_837759,45,0.0026604534863474013,5
20260429_102255_837759,69,0.004358936125471385,4
20260429_102255_837759,16,0.009589474196215354,79
20260429_102255_837759,551,0.03095742090461384,1
20260429_102255_837759,15,0.010138715261643314,89
20260429_102255_837759,12,0.010432580486549492,151
20260429_102255_837759,134,0.002750019990724258,1
20260429_102255_837759,214,0.007210907250521005,1
20260429_102255_837759,10,0.01153146677510579,231
20260429_102255_837759,283,0.010565416322797769,1
20260429_102255_837759,976,0.07612132041652113,1
20260429_102255_837759,1090,0.08190498943734974,1
20260429_102255_837759,70,0.008333874836317597,6
20260429_102255_837759,4,0.004438745251704698,313
20260429_102255_837759,18,0.008077962567211225,53
20260429_102255_837759,6,0.007471357372231845,328
20260429_102255_837759,84,0.0019782810420209173,1
20260429_102255_837759,58,0.004169868344015877,4
20260429_102255_837759,114,0.008327337917411595,3
20260429_102255_837759,20,0.006936377134075228,44
20260429_102255_837759,68,0.002190720620000317,2
20260429_102255_837759,11,0.008968720010100595,152
20260429_102255_837759,172,0.006413141813585827,1
20260429_102255_837759,14,0.008913985671764196,106
20260429_102255_837759,195,0.006500779572290691,1
20260429_102255_837759,46,0.00277406093941613,4
20260429_102255_837759,7,0.00871055290872643,325
20260429_102255_837759,51,0.00358448015590614,5
20260429_102255_837759,32,0.005680562304120422,16
20260429_102255_837759,27,0.005557103937762031,19
20260429_102255_837759,5,0.006112379583698606,354
20260429_102255_837759,150,0.0037756885568292027,1
20260429_102255_837759,104,0.006495819413919165,2
20260429_102255_837759,367,0.01942618988873126,1
20260429_102255_837759,179,0.005721337727700617,1
20260429_102255_837759,17,0.00692676108762995,59
20260429_102255_837759,211,0.007194637479639348,1
20260429_102255_837759,169,0.011815076879010889,2
20260429_102255_837759,39,0.009943329982385474,20
20260429_102255_837759,43,0.003035282400922078,6
20260429_102255_837759,74,0.006587571329389497,4
20260429_102255_837759,33,0.009255129352693152,23
20260429_102255_837759,22,0.004841459350700915,24
20260429_102255_837759,107,0.002251501548952225,1
20260429_102255_837759,57,0.003120147139442097,3
20260429_102255_837759,72,0.005898659434493825,5
20260429_102255_837759,62,0.004422737366076214,4
20260429_102255_837759,13,0.009067724761366509,123
20260429_102255_837759,75,0.004975643135285233,4
20260429_102255_837759,278,0.009464263592818425,1
20260429_102255_837759,25,0.006295828146187924,29
20260429_102255_837759,200,0.005607443429174488,1
20260429_102255_837759,85,0.00609577341414976,3
20260429_102255_837759,35,0.004677020420707743,13
20260429_102255_837759,156,0.005134953044530675,1
20260429_102255_837759,44,0.002340593486834654,5
20260429_102255_837759,145,0.004447308009076381,1
20260429_102255_837759,174,0.004648283025474854,1
20260429_102255_837759,102,0.004896100201581013,2
20260429_102255_837759,28,0.005105301520498599,17
20260429_102255_837759,115,0.006110810699990979,2
20260429_102255_837759,3,0.0015253656976138782,207
20260429_102255_837759,155,0.008297225640895344,2
20260429_102255_837759,31,0.0037576293647855067,12
20260429_102255_837759,271,0.02106049296042495,2
20260429_102255_837759,41,0.004087652465023163,8
20260429_102255_837759,36,0.0016200433099541034,6
20260429_102255_837759,78,0.003452801269380709,2
20260429_102255_837759,24,0.004589991814286684,21
20260429_102255_837759,38,0.003113363203672787,6
20260429_102255_837759,151,0.010742344947985814,3
20260429_102255_837759,89,0.005391862013405432,3
20260429_102255_837759,21,0.006765557485075522,40
20260429_102255_837759,67,0.0008723676397439059,1
20260429_102255_837759,29,0.006375201598596903,25
20260429_102255_837759,79,0.003138911930940823,2
20260429_102255_837759,42,0.0034421366072347258,6
20260429_102255_837759,34,0.005556352012165237,13
20260429_102255_837759,47,0.0026108650742226996,4
20260429_102255_837759,124,0.0027980014054285822,1
20260429_102255_837759,97,0.0023841389442083912,1
20260429_102255_837759,186,0.00634541840610199,1
20260429_102255_837759,53,0.004442779979757822,6
20260429_102255_837759,40,0.003540586135402639,8
20260429_102255_837759,64,0.0012558647049786577,1
20260429_102255_837759,23,0.005680365868235209,32
20260429_102255_837759,449,0.02096431031151954,1
20260429_102255_837759,37,0.005334498718117025,11
20260429_102255_837759,30,0.005846699810514066,16
20260429_102255_837759,117,0.0035380121884347887,1
20260429_102255_837759,19,0.009467820000855576,57
20260429_102255_837759,197,0.011591628418386016,2
20260429_102255_837759,256,0.01147305931017445,1
20260429_102255_837759,65,0.004632413103743882,5
20260429_102255_837759,128,0.004264592762521939,1
20260429_102255_837759,91,0.006432355563729548,3
20260429_102255_837759,2,0.0005956255335183063,113
20260429_102255_837759,164,0.004653189570407044,1
20260429_102255_837759,86,0.0026724203928873338,2
20260429_102255_837759,93,0.0020951194159617046,1
20260429_102255_837759,52,0.004210911619061317,4
20260429_102255_837759,130,0.0020422195959664954,1
20260429_102255_837759,421,0.018844339746051063,1
20260429_102255_837759,50,0.0031079559324016437,4
20260429_102255_837759,55,0.001510824137951886,2
20260429_102255_837759,87,0.003668088770406558,2
20260429_102255_837759,48,0.004782349934629962,6
20260429_102255_837759,26,0.0055429006348045136,21
20260429_102255_837759,88,0.00230260690198282,1
20260429_102255_837759,213,0.007183015727244523,1
20260429_102255_837759,127,0.0031014770582707706,1
20260429_102255_837759,298,0.013032622317807751,1
20260429_102255_837759,162,0.00388627162714321,1
20260429_102255_837759,56,0.0036599665254087948,4
20260429_102255_837759,108,0.0019848657199983736,1
20260429_102255_837759,218,0.008183733109941653,1
20260429_102255_837759,61,0.002504670041076476,2
20260429_102255_837759,131,0.0041789425929534794,1
20260429_102255_837759,54,0.002163461752517787,3
20260429_102255_837759,154,0.003950281899233608,1
20260429_102255_837759,132,0.005662782936062811,2
20260429_102255_837759,103,0.0019351397736027574,1
20260429_102255_837759,92,0.0022076060448139347,1
20260429_102255_837759,60,0.0038027833404960486,4
20260429_102255_837759,121,0.005433948424391983,2
20260429_102255_837759,176,0.0060403523547644155,1
20260429_102255_837759,101,0.00249027664792501,1
20260429_102255_837759,187,0.00665185365833085,1
20260429_102255_837759,49,0.004836545988266975,7
20260429_102255_837759,269,0.008786773010106066,1
20260429_102255_837759,110,0.0032741782975803523,1
20260429_102255_837759,1,9.12574208617033e-05,28
20260429_102255_837759,163,0.004734152934868593,1
20260429_102255_837759,76,0.0036286187882210953,3
