name,N,J,noise,periodic,beta,gamma,r_mean,alpha,Tc,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
SD,1997,1.0,1e-10,False,2.01,2.01,0.5312345414503034,1.6066788675717536,145.40042583026388,0.040383494331352625,60.76,1,1.0
SD,1999,1.0,1e-10,False,2.21,2.01,0.5274866248796983,1.6066903790580866,148.0453245513712,0.04154188780033781,62.01,1,1.0
SD,2000,1.0,1e-10,False,2.21,2.01,0.5336682561866373,1.6066788049445164,145.4187575792745,0.04189356846770143,60.9,1,1.0
SD,1997,1.0,1e-10,False,2.21,2.01,0.5341709518124907,1.606682503110905,145.6321852893768,0.04147796909008104,60.49,1,1.0
SD,2000,1.0,1e-10,False,2.21,2.01,0.532242304165445,1.6066799976906923,146.66298044288067,0.042226855270571316,61.29,1,1.0
SD,1999,1.0,1e-10,False,2.41,2.01,0.5305596345655229,1.6066983586749397,148.85477241455558,0.04250617577975396,62.41,1,1.0
SD,1999,1.0,1e-10,False,2.41,2.01,0.540439557361674,1.606700564226693,148.7861557388158,0.04262296090813026,62.42,1,1.0
SD,2000,1.0,1e-10,False,2.41,2.01,0.5211103162991911,1.6067034610294297,149.23354903102583,0.04230915136249274,62.7,1,1.0
SD,1998,1.0,1e-10,False,2.41,2.01,0.5241436627433642,1.6067038248066399,148.97063083216426,0.04132848208264511,62.58,1,1.0
SD,1998,1.0,1e-10,False,2.6100000000000003,2.01,0.5210898174186606,1.6067204074667034,150.85219630357264,0.04062819591204671,62.72,1,1.0
SD,2000,1.0,1e-10,False,2.6100000000000003,2.01,0.5183767846905606,1.6067161603887468,150.98257345944978,0.04314579941818466,64.36,1,1.0
SD,2000,1.0,1e-10,False,2.6100000000000003,2.01,0.5352244808853642,1.6067138740397013,150.42773412024655,0.04279574536359699,64.37,1,1.0
SD,1998,1.0,1e-10,False,2.6100000000000003,2.01,0.5171132158604158,1.6067220280494625,150.83361744074392,0.04292788185838363,64.04,1,1.0
SD,2000,1.0,1e-10,False,2.8100000000000005,2.01,0.522830419893684,1.6067086151135508,150.04745092389737,0.041860829445048,63.1,1,1.0
SD,2000,1.0,1e-10,False,2.8100000000000005,2.01,0.5260202716448386,1.6067217191156211,150.5307682630666,0.04191580246523173,63.14,1,1.0
SD,2000,1.0,1e-10,False,2.8100000000000005,2.01,0.5211655029392682,1.606719360838011,149.61405203173246,0.04167917573680706,63.27,1,1.0
SD,1998,1.0,1e-10,False,2.8100000000000005,2.01,0.5254359692260763,1.6067242789846656,150.93431046061377,0.042562349760432786,64.06,1,1.0
SD,1999,1.0,1e-10,False,3.0100000000000007,2.01,0.5209613688089682,1.6067211886475543,150.71187235238318,0.0417925324986315,63.91,1,1.0
SD,1994,1.0,1e-10,False,3.0100000000000007,2.01,0.528487505033757,1.6067500535192643,152.37347917101667,0.043714151892986726,65.61,1,1.0
SD,2000,1.0,1e-10,False,3.0100000000000007,2.01,0.5263556138324611,1.6067326011456489,151.49207090921277,0.042809661143953424,64.3,1,1.0
SD,1996,1.0,1e-10,False,3.0100000000000007,2.01,0.5304914197185865,1.6067369181676088,152.1096900892942,0.040991560876351286,63.56,1,1.0
SD,2000,1.0,1e-10,False,3.210000000000001,2.01,0.5125884747953161,1.6067467094799204,153.86594174782508,0.043320162243049985,65.57,1,1.0
SD,1999,1.0,1e-10,False,3.210000000000001,2.01,0.5142980283802665,1.6067395425968705,152.67820425736232,0.04181779846599431,64.53,1,1.0
SD,1999,1.0,1e-10,False,3.210000000000001,2.01,0.5218308355417813,1.6067352561616735,152.3951514358739,0.042235747068469866,64.25,1,1.0
SD,2000,1.0,1e-10,False,3.210000000000001,2.01,0.5202809494272538,1.6067464329034205,153.35214783217208,0.04240463704549361,65.21,1,1.0
SD,1999,1.0,1e-10,False,3.410000000000001,2.01,0.5297608281096102,1.6067419295934962,153.4959809900855,0.043086178275843275,65.28,1,1.0
SD,1998,1.0,1e-10,False,3.410000000000001,2.01,0.5137004555540444,1.606746204810566,153.71010174906291,0.03997070022112822,64.78,1,1.0
SD,1997,1.0,1e-10,False,3.410000000000001,2.01,0.5250410236032497,1.6067537421393112,153.81606757541857,0.0404172188860717,64.48,1,1.0
SD,1999,1.0,1e-10,False,3.410000000000001,2.01,0.5439394200798783,1.606738875036288,152.74903297109753,0.04242226352968248,64.14,1,1.0
SD,2000,1.0,1e-10,False,3.610000000000001,2.01,0.5268542189949245,1.6067405868165636,153.95745542258283,0.04297271156476437,65.55,1,1.0
SD,2000,1.0,1e-10,False,3.610000000000001,2.01,0.5333537526691173,1.6067434962694593,153.16134052374943,0.04177470772738708,64.66,1,1.0
SD,1997,1.0,1e-10,False,3.610000000000001,2.01,0.5225900188509962,1.6067585909222097,155.34746453428505,0.04283091192261718,66.33,1,1.0
SD,2000,1.0,1e-10,False,3.610000000000001,2.01,0.5317727822247534,1.606755330219891,154.42065189039357,0.042790682592764265,66.46,1,1.0
SD,1993,1.0,1e-10,False,3.8100000000000014,2.01,0.5139292650793951,1.606783782229561,156.21121004170786,0.04176154335158121,65.22,1,1.0
SD,1998,1.0,1e-10,False,3.8100000000000014,2.01,0.5120357928125461,1.6067647575627073,155.0605503940555,0.041902641091739135,65.01,1,1.0
SD,1999,1.0,1e-10,False,3.8100000000000014,2.01,0.527040453311367,1.6067671824706935,154.81089887463912,0.04330662708206369,66.44,1,1.0
SD,1998,1.0,1e-10,False,3.8100000000000014,2.01,0.5208779645475861,1.6067489498265817,153.13947315329648,0.0406511392391459,64.46,1,1.0
SD,1996,1.0,1e-10,False,4.010000000000002,2.01,0.527898639819141,1.60676082230939,155.14752811623876,0.04160727612372208,65.97,1,1.0
SD,1999,1.0,1e-10,False,4.010000000000002,2.01,0.5224173907102565,1.6067550685239251,154.79328402685883,0.04359099128444546,65.85,1,1.0
SD,2000,1.0,1e-10,False,4.010000000000002,2.01,0.5246997397407446,1.6067385416035858,153.37326339581128,0.041665762528065226,64.95,1,1.0
SD,1997,1.0,1e-10,False,4.010000000000002,2.01,0.5265547292733211,1.6067772888727523,156.05393523339814,0.0410789091339799,65.16,1,1.0
SD,1996,1.0,1e-10,False,4.210000000000002,2.01,0.5115859851170028,1.60676391345933,154.45941800066439,0.04115374433113154,65.68,1,1.0
SD,1999,1.0,1e-10,False,4.210000000000002,2.01,0.5237308040848219,1.6067555573536496,153.8800449575318,0.04184803572707274,65.19,1,1.0
SD,2000,1.0,1e-10,False,4.210000000000002,2.01,0.5242385671917743,1.6067531099480108,154.27420180609695,0.04280472760132526,65.71,1,1.0
SD,1997,1.0,1e-10,False,4.210000000000002,2.01,0.5237495453400003,1.6067507078862,153.6688387559632,0.041564028691329996,65.29,1,1.0
SD,2000,1.0,1e-10,False,4.410000000000002,2.01,0.5188650408747763,1.6067580409656066,154.828906916931,0.04238189256833522,65.31,1,1.0
SD,1999,1.0,1e-10,False,4.410000000000002,2.01,0.5319985684890176,1.6067624910564178,154.9495719317877,0.04180009214950933,65.19,1,1.0
SD,1999,1.0,1e-10,False,4.410000000000002,2.01,0.5323383704721402,1.606759004668033,155.0950394094539,0.042898095359416,66.59,1,1.0
SD,1998,1.0,1e-10,False,4.410000000000002,2.01,0.5435550922568635,1.6067467313674064,154.00993759597745,0.04252564950891554,65.92,1,1.0
SD,1996,1.0,1e-10,False,4.610000000000002,2.01,0.5164352037871196,1.606764540050782,154.95236053942497,0.04217457728366709,66.22,1,1.0
SD,1999,1.0,1e-10,False,4.610000000000002,2.01,0.5292977443776519,1.6067679997437483,155.29015294969514,0.040798334559842775,65.31,1,1.0
SD,1999,1.0,1e-10,False,4.610000000000002,2.01,0.5188743768898333,1.606765171174305,154.99754573500758,0.04307148917113552,66.49,1,1.0
SD,1997,1.0,1e-10,False,4.610000000000002,2.01,0.5252458172174482,1.606760104476948,155.02746167243544,0.04180244689139581,65.64,1,1.0
SD,1988,1.0,1e-10,False,4.810000000000002,2.01,0.5157956483875878,1.6067932611783282,155.84175410771311,0.041799042431359464,65.8391959798995,1,1.0
SD,1998,1.0,1e-10,False,4.810000000000002,2.01,0.5385087595065313,1.606749012851957,153.86507755662802,0.04117192304525139,64.92,1,1.0
SD,1997,1.0,1e-10,False,4.810000000000002,2.01,0.5286559013081744,1.6067660903573509,155.187568384338,0.04138369857243032,65.86,1,1.0
SD,1998,1.0,1e-10,False,4.810000000000002,2.01,0.5112139545800717,1.60675090090401,153.55081201806553,0.04223366726907566,66.47,1,1.0
SD,1994,1.0,1e-10,False,5.0100000000000025,2.01,0.5306595650892084,1.6067742073888738,155.76425864971995,0.04316945238234451,66.23,1,1.0
SD,1995,1.0,1e-10,False,5.0100000000000025,2.01,0.5381777090640633,1.6067680737778511,154.66255241600192,0.04094379832514003,65.33,1,1.0
SD,1999,1.0,1e-10,False,5.0100000000000025,2.01,0.5382731720416228,1.6067597356727032,154.47138054459705,0.04212397006434575,65.18,1,1.0
SD,1997,1.0,1e-10,False,5.0100000000000025,2.01,0.5224811951890983,1.6067554849873549,155.01337542307323,0.042728962221332704,65.69,1,1.0
SD,2000,1.0,1e-10,False,5.210000000000003,2.01,0.5240634225779607,1.6067609601056028,155.44573945307647,0.04277524983910099,66.24,1,1.0
SD,2000,1.0,1e-10,False,5.210000000000003,2.01,0.50032563054957,1.606756149283132,154.7668895683834,0.042705007044533366,65.47,1,1.0
SD,2000,1.0,1e-10,False,5.210000000000003,2.01,0.5295768882495013,1.6067640129697778,155.26795203058072,0.04234149897162946,66.01,1,1.0
SD,1995,1.0,1e-10,False,5.210000000000003,2.01,0.5171933271760702,1.6067719424880098,155.68868522004462,0.04321789109228163,66.43,1,1.0
SD,2000,1.0,1e-10,False,5.410000000000003,2.01,0.5227807895887855,1.6067578222236776,155.7426959374475,0.04273019339681702,66.68,1,1.0
SD,1999,1.0,1e-10,False,5.410000000000003,2.01,0.5328091337311421,1.6067763112788795,156.3692000363097,0.04123276989030467,66.69,1,1.0
SD,1999,1.0,1e-10,False,5.410000000000003,2.01,0.516387115819231,1.6067622323490838,154.61835794445267,0.041689738624325796,65.27,1,1.0
SD,2000,1.0,1e-10,False,5.410000000000003,2.01,0.5124214965066763,1.6067670124356865,156.4172738994603,0.04319139084610027,67.03,1,1.0
SD,1997,1.0,1e-10,False,5.610000000000003,2.01,0.5232758709355944,1.6067674202197684,155.13969891222325,0.04231073161328046,66.3,1,1.0
SD,2000,1.0,1e-10,False,5.610000000000003,2.01,0.5337210127388893,1.6067597935084779,155.30579697889883,0.04258668440400274,66.04,1,1.0
SD,1995,1.0,1e-10,False,5.610000000000003,2.01,0.528767540055428,1.6067711120588855,154.92534383499418,0.04188042533494152,66.05,1,1.0
SD,2000,1.0,1e-10,False,5.610000000000003,2.01,0.5285063322536153,1.606761465136631,155.37490260738815,0.041328507689987526,65.6,1,1.0
